ts,soc_tctl_C,igpu_edge_C,igpu_power_W
1781714670,34.4,33.0,10.06
1781714675,36.9,34.0,18.04
1781714680,36.1,35.0,19.09
1781714685,37.0,35.0,21.04
1781714690,37.4,35.0,21.02
1781714695,37.9,36.0,22.09
1781714700,38.4,37.0,22.06
1781714705,38.8,37.0,23.01
1781714710,39.2,37.0,22.02
1781714715,39.6,38.0,21.02
1781714720,40.1,38.0,23.07
1781714725,40.6,39.0,22.08
1781714730,40.8,38.0,22.09
1781714735,41.4,39.0,22.03
1781714740,41.9,40.0,21.09
1781714745,42.0,40.0,20.09
1781714750,42.2,40.0,21.07
1781714755,42.5,40.0,20.07
1781714760,42.9,40.0,20.08
1781714765,43.1,41.0,21.07
1781714770,43.5,41.0,21.01
1781714775,43.8,41.0,20.02
1781714780,43.8,41.0,19.10
1781714785,44.1,41.0,20.02
1781714790,43.8,41.0,20.07
1781714795,43.5,40.0,20.09
1781714800,43.5,40.0,21.06
1781714805,43.1,40.0,21.03
1781714810,42.9,40.0,20.09
1781714815,42.6,40.0,21.04
1781714820,42.5,40.0,21.02
1781714825,42.1,39.0,21.06
1781714830,42.1,39.0,22.03
1781714835,41.6,39.0,20.06
1781714840,41.6,39.0,21.09
1781714845,41.6,39.0,21.06
1781714850,41.4,39.0,22.01
1781714855,41.4,39.0,22.10
1781714860,41.8,39.0,23.05
1781714865,41.2,39.0,21.05
1781714870,41.2,38.0,21.05
1781714875,41.1,39.0,20.08
1781714880,41.2,38.0,22.09
1781714885,40.9,39.0,21.01
1781714890,40.9,38.0,21.04
1781714895,40.8,39.0,23.02
1781714900,41.0,38.0,23.02
1781714905,40.9,38.0,22.10
1781714910,40.8,39.0,22.06
1781714915,40.8,38.0,22.07
1781714920,41.0,39.0,22.08
1781714925,41.0,39.0,23.02
1781714930,40.8,38.0,22.03
1781714935,40.6,38.0,22.06
1781714940,40.6,38.0,23.02
1781714945,40.8,38.0,23.04
1781714950,40.9,38.0,23.06
1781714955,40.8,38.0,24.01
1781714960,40.5,38.0,22.05
1781714965,40.8,38.0,22.07
1781714970,40.6,38.0,21.07
1781714975,40.6,38.0,21.04
1781714980,40.8,38.0,20.08
1781714985,40.5,38.0,20.05
1781714990,40.4,38.0,21.09
1781714995,40.4,38.0,21.05
1781715000,40.1,37.0,20.06
1781715005,40.1,37.0,20.08
1781715010,40.2,37.0,21.03
1781715015,40.0,37.0,20.07
1781715020,39.8,37.0,21.00
1781715025,40.1,37.0,20.05
1781715030,40.0,37.0,21.01
1781715035,40.0,37.0,20.09
1781715040,40.0,38.0,20.10
1781715045,40.0,37.0,20.05
1781715050,39.9,37.0,21.00
1781715055,39.9,37.0,20.07
1781715060,39.6,37.0,21.00
1781715065,39.9,37.0,20.09
1781715070,39.8,37.0,20.07
1781715076,39.6,37.0,20.09
1781715081,39.4,37.0,20.08
1781715086,39.8,37.0,20.08
1781715091,39.6,37.0,20.08
1781715096,39.8,37.0,20.08
1781715101,39.9,37.0,20.07
1781715106,39.8,37.0,21.07
1781715111,39.6,37.0,20.10
1781715116,39.6,37.0,20.07
1781715121,39.5,37.0,20.02
1781715126,39.4,37.0,20.08
1781715131,39.6,37.0,20.07
1781715136,39.4,37.0,20.00
1781715141,39.5,37.0,20.04
1781715146,39.4,36.0,20.05
1781715151,39.4,37.0,19.09
1781715156,39.4,37.0,20.07
1781715161,39.4,37.0,20.08
1781715166,39.1,37.0,20.06
1781715171,39.6,36.0,21.01
1781715176,39.5,37.0,20.05
1781715181,39.5,37.0,22.04
1781715186,39.4,37.0,20.06
1781715191,39.1,37.0,21.01
1781715196,39.5,37.0,21.04
1781715201,39.5,37.0,21.05
1781715206,39.4,37.0,21.09
1781715211,39.4,37.0,21.05
1781715216,39.4,37.0,20.04
1781715221,39.2,37.0,20.01
1781715226,39.2,37.0,20.07
1781715231,39.4,37.0,20.05
1781715236,39.4,37.0,20.06
1781715241,39.2,37.0,20.06
1781715246,39.2,36.0,20.05
1781715251,39.6,36.0,20.05
1781715256,39.2,37.0,20.00
1781715261,39.6,37.0,20.04
1781715266,39.2,37.0,19.07
1781715271,39.4,37.0,20.08
1781715276,39.4,37.0,21.07
1781715281,39.4,37.0,20.02
1781715286,39.5,37.0,20.08
1781715291,39.4,37.0,21.02
1781715296,39.4,37.0,20.10
1781715301,39.4,37.0,20.03
1781715306,39.4,37.0,20.05
1781715311,39.2,37.0,20.05
1781715316,39.2,37.0,20.06
1781715321,39.2,36.0,20.03
1781715326,39.2,37.0,20.08
1781715331,39.4,37.0,20.04
1781715336,39.1,36.0,20.10
1781715341,39.4,37.0,21.02
1781715346,39.2,36.0,20.02
1781715351,39.2,37.0,19.06
1781715356,39.0,36.0,20.00
1781715361,39.1,36.0,19.08
1781715366,39.0,37.0,20.00
1781715371,39.1,37.0,21.02
1781715376,39.5,37.0,21.03
1781715381,39.8,37.0,21.03
1781715386,39.9,38.0,21.02
1781715391,40.4,38.0,21.03
1781715396,40.6,38.0,20.08
1781715401,41.0,39.0,20.07
1781715406,41.4,39.0,21.04
1781715411,41.8,40.0,20.05
1781715416,42.2,40.0,20.05
1781715421,42.5,40.0,20.05
1781715426,43.0,40.0,22.05
1781715431,43.1,41.0,20.05
1781715436,43.6,41.0,21.04
1781715441,43.6,41.0,21.04
1781715446,43.8,41.0,20.03
1781715451,58.4,42.0,30.07
1781715456,52.0,42.0,28.01
1781715461,44.2,41.0,20.07
1781715466,43.5,40.0,21.00
1781715471,42.9,40.0,21.01
1781715476,42.6,40.0,21.05
1781715481,42.1,40.0,20.09
1781715486,41.8,39.0,20.03
1781715491,41.5,39.0,19.08
1781715496,41.1,39.0,19.06
1781715501,41.0,38.0,20.01
1781715506,40.9,39.0,20.08
1781715511,40.8,38.0,21.00
1781715516,40.5,38.0,20.05
1781715521,40.2,38.0,20.04
1781715526,40.4,37.0,22.04
1781715531,40.0,37.0,20.08
1781715536,39.9,37.0,20.03
1781715541,40.1,37.0,21.01
1781715546,40.0,38.0,20.03
1781715552,40.1,38.0,20.07
1781715557,40.8,38.0,22.00
1781715562,40.8,38.0,20.07
1781715567,41.4,39.0,22.02
1781715572,41.5,39.0,20.05
1781715577,41.9,40.0,20.08
1781715582,42.2,40.0,20.07
1781715587,42.6,40.0,20.09
1781715592,42.9,41.0,20.05
1781715597,43.4,41.0,21.07
1781715602,43.8,41.0,21.07
1781715607,43.6,41.0,20.08
1781715612,44.0,41.0,21.02
1781715617,44.0,41.0,20.05
1781715622,43.8,41.0,20.03
1781715627,43.6,40.0,20.08
1781715632,43.4,40.0,21.05
1781715637,43.0,40.0,20.09
1781715642,43.0,40.0,20.08
1781715647,42.9,40.0,20.02
1781715652,42.8,40.0,20.08
1781715657,42.6,40.0,20.06
1781715662,42.6,40.0,21.03
1781715667,42.1,39.0,21.01
1781715672,41.9,39.0,20.05
1781715677,42.0,39.0,21.03
1781715682,41.6,39.0,20.07
1781715687,41.4,39.0,19.10
1781715692,41.5,38.0,19.10
1781715697,41.4,39.0,20.02
1781715702,41.4,39.0,20.01
1781715707,41.0,39.0,20.01
1781715712,41.2,39.0,20.03
1781715717,41.0,39.0,20.05
1781715722,41.0,38.0,20.04
1781715727,40.9,38.0,21.07
1781715732,40.9,39.0,20.07
1781715737,40.9,38.0,20.09
1781715742,40.9,38.0,20.10
1781715747,40.6,39.0,21.03
1781715752,40.6,39.0,21.08
1781715757,40.5,38.0,21.00
1781715762,40.8,38.0,20.04
1781715767,40.5,38.0,20.07
1781715772,40.4,38.0,20.08
1781715777,40.1,38.0,21.01
1781715782,40.5,37.0,22.04
1781715787,40.2,37.0,20.04
1781715792,40.1,37.0,20.10
1781715797,45.5,38.0,33.04
1781715802,41.1,38.0,22.01
1781715807,40.8,38.0,20.07
1781715812,40.6,38.0,20.05
1781715817,40.6,38.0,19.08
1781715822,40.4,38.0,20.06
1781715827,40.6,38.0,20.04
1781715832,40.5,38.0,21.01
1781715837,40.4,38.0,21.07
1781715842,40.0,38.0,20.07
1781715847,40.2,38.0,20.09
1781715852,40.0,37.0,20.09
1781715857,40.1,37.0,20.04
1781715862,40.0,38.0,20.02
1781715867,40.5,38.0,20.02
1781715872,40.6,38.0,20.05
1781715877,41.0,39.0,20.07
1781715882,41.1,39.0,20.00
1781715887,41.8,39.0,20.04
1781715892,42.0,40.0,20.02
1781715897,42.6,40.0,22.02
1781715902,42.8,40.0,21.02
1781715907,42.9,40.0,21.04
1781715912,43.4,41.0,20.06
1781715917,43.8,42.0,22.05
1781715922,44.0,41.0,22.00
1781715927,44.1,42.0,20.06
1781715932,44.1,41.0,20.09
1781715937,43.9,41.0,21.01
1781715942,43.6,40.0,20.10
1781715947,43.5,40.0,22.00
1781715952,43.1,40.0,20.06
1781715957,42.9,40.0,20.06
1781715962,42.8,40.0,20.09
1781715967,42.9,39.0,22.07
1781715972,42.6,40.0,20.04
1781715977,43.2,40.0,23.03
1781715982,42.1,40.0,20.05
1781715987,41.9,39.0,20.01
1781715992,41.8,39.0,20.03
1781715998,41.8,39.0,20.04
1781716003,42.0,39.0,22.01
1781716008,41.5,39.0,20.07
1781716013,41.4,39.0,20.06
1781716018,41.2,39.0,20.08
1781716023,41.1,39.0,20.05
1781716028,41.5,38.0,22.01
1781716033,41.0,38.0,20.09
1781716038,41.1,39.0,20.09
1781716043,40.9,39.0,21.03
1781716048,40.9,38.0,20.02
1781716053,41.0,38.0,20.07
1781716058,40.9,38.0,20.05
1781716063,40.9,38.0,21.04
1781716068,40.8,38.0,20.00
1781716073,40.4,38.0,19.07
1781716078,40.8,38.0,20.09
1781716083,40.5,38.0,20.04
1781716088,40.6,38.0,20.05
1781716093,40.2,37.0,20.05
1781716098,40.5,38.0,21.04
1781716103,40.1,38.0,20.04
1781716108,40.1,38.0,20.05
1781716113,40.1,38.0,20.06
1781716118,40.1,37.0,20.06
1781716123,40.2,37.0,21.04
1781716128,40.0,37.0,20.09
1781716133,40.1,37.0,21.01
1781716138,40.1,37.0,21.03
1781716143,40.2,38.0,22.00
1781716148,40.6,38.0,20.07
1781716153,41.0,39.0,20.07
1781716158,41.4,39.0,20.07
1781716163,41.6,39.0,21.00
1781716168,42.1,40.0,21.01
1781716173,42.4,40.0,20.05
1781716178,42.8,40.0,20.03
1781716183,43.0,40.0,20.03
1781716188,43.5,40.0,20.08
1781716193,43.6,41.0,20.01
1781716198,43.9,41.0,21.00
1781716203,44.1,42.0,20.08
1781716208,44.1,42.0,20.10
1781716213,44.5,41.0,22.05
1781716218,43.8,41.0,21.03
1781716223,43.8,40.0,21.06
1781716228,43.2,41.0,21.08
1781716233,42.9,40.0,21.05
1781716238,42.9,40.0,20.07
1781716243,42.8,40.0,21.04
1781716248,42.6,39.0,21.03
1781716253,42.6,39.0,21.01
1781716258,42.2,39.0,20.05
1781716263,42.0,40.0,20.04
1781716268,42.0,40.0,20.05
1781716273,41.5,39.0,20.06
1781716278,41.6,39.0,20.06
1781716283,41.6,39.0,20.08
1781716288,41.8,39.0,21.01
1781716293,41.5,39.0,20.07
1781716298,41.2,39.0,20.06
1781716303,41.2,38.0,20.05
1781716308,41.1,38.0,21.06
1781716313,41.0,39.0,21.04
1781716318,41.4,38.0,21.01
1781716323,41.0,39.0,20.07
1781716328,41.2,39.0,22.02
1781716333,41.0,38.0,20.05
1781716338,41.1,39.0,20.02
1781716343,41.8,40.0,22.01
1781716348,41.9,40.0,20.04
1781716353,42.2,40.0,20.03
1781716358,43.0,41.0,20.07
1781716363,43.0,40.0,20.03
1781716368,43.2,40.0,20.02
1781716373,43.5,41.0,20.09
1781716378,43.9,41.0,20.03
1781716383,44.2,42.0,20.06
1781716388,44.1,42.0,21.10
1781716393,44.1,42.0,22.02
1781716398,43.9,41.0,20.05
1781716403,43.9,40.0,21.04
1781716408,43.4,40.0,20.05
1781716413,43.5,40.0,21.07
1781716418,42.9,40.0,21.03
1781716423,42.6,40.0,20.09
1781716428,42.6,40.0,19.08
1781716433,42.5,39.0,22.00
1781716438,42.4,40.0,21.06
1781716443,42.0,40.0,20.10
1781716448,41.9,39.0,19.09
1781716453,41.8,39.0,20.04
1781716458,41.5,38.0,19.09
1781716464,41.5,39.0,19.10
1781716469,41.4,39.0,20.05
1781716474,41.1,39.0,20.01
1781716479,41.2,38.0,20.05
1781716484,41.1,39.0,20.02
1781716489,41.0,38.0,20.05
1781716494,41.1,38.0,20.07
1781716499,41.0,39.0,20.08
1781716504,41.1,39.0,22.03
1781716509,41.0,39.0,20.04
1781716514,41.4,39.0,20.09
1781716519,41.9,39.0,20.06
1781716524,42.1,40.0,19.08
1781716529,42.2,40.0,20.04
1781716534,42.5,40.0,19.08
1781716539,43.1,41.0,20.04
1781716544,43.4,41.0,20.09
1781716549,43.6,41.0,20.01
1781716554,44.0,41.0,21.08
1781716559,43.9,41.0,20.04
1781716564,43.8,41.0,20.06
1781716569,43.6,41.0,20.08
1781716574,43.2,40.0,21.07
1781716579,43.1,40.0,20.08
1781716584,42.8,40.0,21.04
1781716589,43.0,40.0,20.09
1781716594,42.5,40.0,20.05
1781716599,42.2,40.0,21.02
1781716604,42.0,40.0,20.09
1781716609,42.1,39.0,20.04
1781716614,42.1,39.0,21.00
1781716619,41.9,39.0,20.09
1781716624,41.6,39.0,20.06
1781716629,41.9,39.0,20.07
1781716634,41.8,39.0,20.09
1781716639,41.5,39.0,20.05
1781716644,41.5,38.0,20.05
1781716649,41.6,39.0,21.03
1781716654,41.2,39.0,20.04
1781716659,41.2,39.0,20.02
1781716664,41.0,38.0,20.03
1781716669,40.8,39.0,19.09
1781716674,40.9,38.0,20.02
1781716679,40.9,39.0,22.09
1781716684,40.8,37.0,21.01
1781716689,40.6,38.0,21.03
1781716694,40.8,38.0,20.09
1781716699,41.0,38.0,21.08
1781716704,40.6,38.0,20.10
1781716709,40.5,37.0,20.03
1781716714,40.8,38.0,20.05
1781716719,40.6,39.0,21.02
1781716724,40.6,38.0,20.04
1781716729,40.4,38.0,20.09
1781716734,40.6,38.0,20.07
1781716739,40.5,37.0,20.05
1781716744,40.5,38.0,20.07
1781716749,40.4,38.0,20.04
1781716754,40.5,38.0,21.07
1781716759,40.4,38.0,20.02
1781716764,40.2,37.0,20.06
1781716769,40.2,37.0,20.09
1781716774,40.1,37.0,20.06
1781716779,40.1,37.0,20.02
1781716784,40.1,38.0,21.00
1781716789,40.0,37.0,20.05
1781716794,40.1,37.0,19.09
1781716799,40.0,37.0,20.05
1781716804,40.0,37.0,20.04
1781716809,40.0,37.0,20.09
1781716814,40.1,37.0,22.03
1781716819,40.0,37.0,20.03
1781716824,40.0,37.0,21.04
1781716829,40.0,37.0,20.09
1781716834,40.4,37.0,21.07
1781716839,40.0,37.0,20.06
1781716844,40.0,37.0,21.04
1781716849,39.9,38.0,20.06
1781716854,39.9,37.0,22.00
1781716859,39.8,37.0,20.09
1781716864,39.9,37.0,21.07
1781716869,39.8,38.0,20.07
1781716874,39.9,38.0,21.04
1781716879,40.0,37.0,20.06
1781716884,39.9,37.0,20.06
1781716889,39.8,37.0,20.04
1781716894,39.9,37.0,20.05
1781716899,39.8,37.0,20.05
1781716904,39.8,38.0,20.05
1781716909,39.9,38.0,20.04
1781716914,39.9,37.0,20.03
1781716919,39.9,37.0,20.06
1781716924,39.9,37.0,20.04
1781716929,39.9,38.0,20.05
1781716935,40.1,37.0,20.09
1781716940,39.8,37.0,19.10
1781716945,39.9,37.0,20.09
1781716950,39.9,37.0,20.10
1781716955,40.0,37.0,22.02
1781716960,40.0,37.0,22.06
1781716965,39.8,38.0,21.04
1781716970,39.8,37.0,22.00
1781716975,39.8,37.0,20.04
1781716980,39.8,37.0,20.06
1781716985,39.8,37.0,20.06
1781716990,39.8,37.0,20.09
1781716995,39.6,37.0,19.06
1781717000,39.8,37.0,21.01
1781717005,39.5,37.0,19.05
1781717010,39.8,37.0,20.08
1781717015,39.8,37.0,21.01
1781717020,39.9,37.0,21.03
1781717025,39.6,37.0,20.04
1781717030,39.6,37.0,21.03
1781717035,39.6,36.0,20.03
1781717040,39.8,37.0,21.06
1781717045,39.6,37.0,21.01
1781717050,39.4,37.0,21.00
1781717055,39.9,37.0,20.02
1781717060,39.8,37.0,20.00
1781717065,40.1,37.0,22.02
1781717070,39.6,37.0,20.04
1781717075,39.8,37.0,20.08
1781717080,39.8,37.0,21.05
1781717085,39.6,37.0,20.05
1781717090,39.8,37.0,20.05
1781717095,39.5,37.0,21.04
1781717100,39.6,37.0,20.06
1781717105,39.6,37.0,20.04
1781717110,39.8,37.0,20.04
1781717115,39.6,37.0,19.09
1781717120,39.5,37.0,20.08
1781717125,39.5,37.0,20.05
1781717130,39.5,37.0,20.05
1781717135,39.5,36.0,21.01
1781717140,39.6,37.0,22.03
1781717145,39.5,37.0,20.05
1781717150,39.4,36.0,20.02
1781717155,39.4,37.0,20.03
1781717160,39.2,36.0,20.09
1781717165,39.4,37.0,20.03
1781717170,39.4,37.0,20.05
1781717175,39.4,36.0,20.05
1781717180,39.5,37.0,21.01
1781717185,39.4,36.0,20.02
1781717190,39.4,37.0,20.01
1781717195,39.5,37.0,20.01
1781717200,39.4,37.0,20.08
1781717205,39.4,37.0,20.06
1781717210,39.4,37.0,20.01
1781717215,39.6,37.0,21.09
1781717220,39.5,37.0,21.05
1781717225,39.1,37.0,20.09
1781717230,39.5,36.0,20.05
1781717235,39.6,37.0,22.08
1781717240,39.5,37.0,20.07
1781717245,39.2,37.0,20.09
1781717250,39.5,37.0,20.05
1781717255,39.5,37.0,20.04
1781717260,39.5,37.0,20.03
1781717265,39.5,37.0,20.06
1781717270,39.5,37.0,20.07
1781717275,39.4,37.0,20.03
1781717280,39.2,37.0,20.06
1781717285,39.4,37.0,20.06
1781717290,39.4,37.0,20.05
1781717295,39.5,37.0,22.02
1781717300,39.4,37.0,20.03
1781717305,39.2,36.0,20.05
1781717310,39.4,37.0,20.01
1781717315,39.5,37.0,21.09
1781717320,39.5,37.0,20.04
1781717325,39.5,37.0,21.00
1781717330,39.4,37.0,20.08
1781717335,39.2,36.0,20.01
1781717340,39.1,37.0,19.09
1781717345,39.2,37.0,19.06
1781717350,39.4,36.0,20.01
1781717355,39.4,37.0,20.09
1781717360,39.4,37.0,19.07
1781717365,39.2,37.0,20.01
1781717370,39.4,37.0,19.09
1781717375,39.4,37.0,21.05
1781717380,39.2,36.0,21.07
1781717386,39.4,37.0,20.01
1781717391,39.5,37.0,20.09
1781717396,39.2,36.0,19.06
1781717401,39.2,37.0,20.05
1781717406,39.5,37.0,20.04
1781717411,39.2,36.0,21.02
1781717416,39.1,37.0,21.00
1781717421,39.2,37.0,21.02
1781717426,39.2,37.0,20.03
1781717431,39.2,36.0,20.01
1781717436,39.1,36.0,19.07
1781717441,39.5,36.0,20.03
1781717446,39.2,37.0,19.04
1781717451,39.2,37.0,19.07
1781717456,39.1,37.0,20.04
1781717461,39.2,36.0,20.08
1781717466,39.2,37.0,21.03
1781717471,39.2,36.0,20.02
1781717476,39.1,36.0,19.06
1781717481,39.1,37.0,20.03
1781717486,39.2,37.0,20.09
1781717491,39.1,37.0,19.07
1781717496,39.1,36.0,20.07
1781717501,39.4,37.0,22.01
1781717506,39.1,36.0,19.10
1781717511,39.1,36.0,20.02
1781717516,39.1,36.0,20.00
1781717521,39.0,37.0,20.05
1781717526,39.2,37.0,19.04
1781717531,39.2,36.0,19.08
1781717536,39.2,37.0,19.06
1781717541,39.1,37.0,19.02
1781717546,39.2,37.0,19.04
1781717551,39.4,36.0,20.07
1781717556,39.2,37.0,19.07
1781717561,39.1,37.0,19.09
1781717566,39.1,36.0,19.09
1781717571,39.0,37.0,19.02
1781717576,39.4,37.0,20.04
1781717581,39.4,36.0,21.06
1781717586,39.2,36.0,20.00
1781717591,39.1,36.0,20.08
1781717596,39.1,36.0,20.03
1781717601,39.1,37.0,21.01
1781717606,39.1,37.0,20.09
1781717611,39.2,36.0,20.09
1781717616,39.1,36.0,19.04
1781717621,39.1,37.0,19.04
1781717626,38.9,37.0,18.09
1781717631,39.4,37.0,19.05
1781717636,39.6,37.0,20.02
1781717641,39.9,38.0,19.09
1781717646,40.5,38.0,19.08
1781717651,41.0,39.0,21.04
1781717656,41.0,39.0,20.02
1781717661,41.1,39.0,19.04
1781717666,41.8,39.0,20.01
1781717671,41.9,40.0,19.02
1781717676,42.4,40.0,19.08
1781717681,42.6,40.0,19.07
1781717686,43.1,41.0,19.05
1781717691,43.2,41.0,19.09
1781717696,43.6,41.0,19.10
1781717701,43.9,41.0,20.07
1781717706,43.9,40.0,22.02
1781717711,43.6,41.0,20.02
1781717716,43.2,40.0,20.04
1781717721,42.9,40.0,20.09
1781717726,42.5,40.0,19.04
1781717731,42.5,39.0,19.05
1781717736,42.2,39.0,20.09
1781717741,42.4,39.0,21.02
1781717746,42.0,39.0,21.06
1781717751,42.1,40.0,21.03
1781717756,41.8,39.0,20.06
1781717761,41.6,39.0,19.09
1781717766,41.5,39.0,19.04
1781717771,41.5,39.0,19.09
1781717776,41.4,39.0,21.02
1781717781,41.4,38.0,20.05
1781717786,40.9,38.0,21.00
1781717791,40.9,38.0,21.06
1781717796,41.0,39.0,20.00
1781717801,41.0,39.0,20.06
1781717806,40.8,38.0,20.00
1781717811,40.6,38.0,19.09
1781717816,40.8,38.0,21.03
1781717821,40.5,38.0,20.02
1781717826,40.6,38.0,20.00
1781717831,40.5,37.0,19.07
1781717836,40.4,38.0,20.00
1781717841,40.4,38.0,19.09
1781717847,40.2,38.0,20.01
1781717852,40.1,37.0,19.08
1781717857,40.1,37.0,20.02
1781717862,40.1,37.0,19.05
1781717867,40.1,37.0,20.03
1781717872,40.0,37.0,19.01
1781717877,40.2,37.0,20.03
1781717882,40.1,37.0,20.01
1781717887,40.4,37.0,21.05
1781717892,40.2,38.0,20.03
1781717897,40.5,38.0,19.06
1781717902,41.0,38.0,20.08
1781717907,41.1,38.0,19.02
1781717912,41.5,39.0,19.08
1781717917,41.8,39.0,21.01
1781717922,42.0,40.0,19.09
1781717927,42.6,40.0,19.09
1781717932,42.8,40.0,20.07
1781717937,43.1,40.0,20.01
1781717942,43.2,41.0,21.03
1781717947,43.8,42.0,20.04
1781717952,43.9,42.0,20.05
1781717957,43.9,41.0,21.09
1781717962,43.5,40.0,20.05
1781717967,43.2,41.0,21.02
1781717972,43.1,40.0,21.02
1781717977,42.9,40.0,20.09
1781717982,42.5,40.0,20.04
1781717987,42.8,40.0,20.07
1781717992,42.5,40.0,21.09
1781717997,42.1,40.0,21.06
1781718002,41.9,40.0,21.01
1781718007,42.0,39.0,20.09
1781718012,42.0,39.0,20.04
1781718017,41.8,39.0,20.05
1781718022,41.5,39.0,20.05
1781718027,41.6,38.0,20.06
1781718032,41.4,39.0,19.10
1781718037,41.4,39.0,20.05
1781718042,41.1,38.0,20.08
1781718047,41.1,38.0,20.05
1781718052,41.0,38.0,20.01
1781718057,41.0,38.0,20.03
1781718062,40.9,38.0,20.04
1781718067,40.9,38.0,20.03
1781718072,40.8,38.0,20.08
1781718077,40.9,38.0,20.03
1781718082,40.5,38.0,20.04
1781718087,40.4,38.0,20.06
1781718092,40.6,38.0,19.10
1781718097,40.5,38.0,19.02
1781718102,40.5,38.0,19.06
1781718107,40.4,38.0,19.01
1781718112,40.2,37.0,19.08
1781718117,40.4,38.0,19.04
1781718122,40.2,37.0,20.01
1781718127,40.1,38.0,20.08
1781718132,40.2,37.0,19.07
1781718137,40.1,37.0,20.02
1781718142,40.1,38.0,20.07
1781718147,40.0,37.0,21.03
